Date,Airport,City,Season,Temperature,Total_Flights,Domestic_Flights,International_Flights,Load_Factor (%),Weather_Good,Economic_Trend,Is_Weekend,Peak_Season,Holiday,Predicted_Footfall,Actual_Footfall
01-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,16,436,318,118,92.57976947,1,1.030645603,0,0,0,106474,103802
02-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,24,275,209,66,91.12802129,1,0.870049256,0,0,0,87067,94915
03-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,587,381,206,91.76672585,1,1.050931574,0,0,0,124546,130324
04-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,23,527,439,88,71.00147798,1,0.883016374,0,0,0,116100,118390
05-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,20,201,161,40,82.82305412,1,1.174068835,0,0,0,77689,72344
06-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,20,536,403,133,85.37822851,1,1.003941604,1,0,0,98368,91600
07-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,566,386,180,70.62429155,1,0.894991423,1,0,0,100631,91736
08-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,467,339,128,90.03614441,1,1.10030786,0,0,0,110042,118100
09-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,20,255,185,70,71.65412972,0,1.130743424,0,0,0,75149,76668
10-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,16,262,172,90,85.92736752,1,1.061353399,0,0,0,85195,88740
11-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,417,347,70,78.49425606,1,1.071245532,0,0,0,103349,93439
12-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,559,398,161,91.23835539,0,1.196678429,0,0,0,109038,119285
13-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,24,336,234,102,87.75331601,1,0.936570108,1,0,0,78487,83705
14-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,22,481,374,107,76.82601548,1,0.917706695,1,0,0,92441,87122
15-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,25,481,381,100,91.40331248,1,1.102985778,0,0,0,111804,104689
16-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,16,577,444,133,91.57838844,1,0.869337221,0,0,0,123334,115524
17-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,224,152,72,72.91457686,1,1.160965213,0,0,0,79854,76727
18-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,559,436,123,92.45966166,1,0.930717882,0,0,0,121227,121827
19-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,20,236,159,77,94.51420568,1,0.826893672,0,0,0,82590,81465
20-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,25,289,233,56,88.70402066,1,0.898497664,1,0,0,73835,70752
21-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,15,446,300,146,70.6812503,1,0.887303949,1,0,1,88634,90616
22-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,14,221,164,57,78.77047773,1,1.12228581,0,0,0,79846,74089
23-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,362,251,111,79.52478184,1,1.129449444,0,0,0,96811,92786
24-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,257,202,55,83.28930382,0,0.990238477,0,0,0,75993,73961
